Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Running,2020-09-24 09:35:13,false,"Orange Running","3.81","492","00:32:51","153","182","3.3","148","215","8:37","4:35","56","56","1.25","0.0","0.0","0.0","0.0","0.0","--","--","32:51","0:00","78.8","0:00","No","07:08.32","4","0.0","18","18","18"
Strength Training,2020-09-24 08:14:24,false,"Strength","0.00","417","01:03:13","110","146","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","208","28","1:03:13","0:00","80.6","0:00","No","01:03:13.25","1","0.0","16","16","16"
Running,2020-09-23 10:08:14,false,"Orange Running","3.76","487","00:32:32","155","186","3.4","147","180","8:40","4:48","52","43","1.24","0.0","0.0","0.0","0.0","0.0","--","--","32:32","0:00","82.4","0:00","No","07:15.53","4","0.0","17","17","17"
Strength Training,2020-09-23 08:31:35,false,"Strength","0.00","477","01:18:00","105","140","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","259","28","1:18:00","0:00","82.4","0:00","No","01:17:59.74","1","0.0","13","13","13"
Running,2020-09-22 10:06:54,false,"Orange Running","1.92","237","00:15:33","149","171","2.5","156","169","8:06","6:44","20","13","1.27","0.0","0.0","0.0","0.0","0.0","--","--","15:33","0:00","78.8","0:00","No","07:26.79","2","0.0","19","19","19"
Strength Training,2020-09-22 09:03:59,false,"Strength","0.00","434","00:54:09","117","152","1.6","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","314","26","54:09","0:00","82.4","0:00","No","54:09.40","1","0.0","13","13","13"
Strength Training,2020-09-21 08:28:37,false,"Strength","0.00","537","01:02:45","121","140","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","197","24","1:02:45","0:00","80.6","0:00","No","01:02:45.03","1","0.0","17","17","17"
Strength Training,2020-09-19 09:50:47,false,"Strength","0.00","413","01:04:22","106","129","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","131","16","1:04:22","0:00","86.0","0:00","No","01:04:22.12","1","0.0","13","13","13"
Running,2020-09-18 23:28:30,false,"Orange Running","1.93","289","00:20:53","144","171","2.3","139","217","10:48","7:54","16","13","1.07","0.0","0.0","0.0","0.0","0.0","--","--","20:53","0:00","80.6","0:00","No","10:04.42","2","0.0","14","14","14"
Running,2020-09-18 12:17:51,false,"Orange Running","1.50","199","00:11:33","163","179","2.7","152","200","7:42","3:37","20","10","1.37","0.0","0.0","0.0","0.0","0.0","--","--","11:33","0:00","87.8","0:00","No","04:30.11","2","0.0","15","15","15"
Strength Training,2020-09-18 11:33:39,false,"Strength","0.00","376","00:40:20","122","162","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","171","14","40:20","0:00","89.6","0:00","No","40:20.04","1","0.0","19","19","19"
Running,2020-09-17 09:43:33,false,"Orange Running","3.79","457","00:34:19","144","173","2.9","141","217","9:02","4:28","56","59","1.26","0.0","0.0","0.0","0.0","0.0","--","--","34:19","0:00","78.8","0:00","No","07:56.94","4","0.0","21","21","21"
Strength Training,2020-09-17 08:16:27,false,"Strength","0.00","536","01:21:09","111","136","1.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","249","33","1:21:09","0:00","84.2","0:00","No","01:21:09.42","1","0.0","18","18","18"
Strength Training,2020-09-16 08:41:45,false,"Strength","0.00","412","00:57:25","112","161","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","240","28","57:25","0:00","82.4","0:00","No","57:24.56","1","0.0","14","14","14"
Running,2020-09-15 09:46:19,false,"Orange Running","3.76","470","00:31:45","150","171","3.2","152","165","8:26","7:08","59","52","1.25","0.0","0.0","0.0","0.0","0.0","--","--","31:45","0:00","80.6","0:00","No","07:42.05","4","0.0","16","16","16"
Strength Training,2020-09-15 08:42:35,false,"Strength","0.00","438","00:51:26","121","144","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","164","18","51:26","0:00","80.6","0:00","No","51:25.64","1","0.0","16","16","16"
Running,2020-09-14 10:12:08,false,"Orange Running","2.89","341","00:24:42","142","168","2.6","149","220","8:33","6:32","39","36","1.26","0.0","0.0","0.0","0.0","0.0","--","--","24:42","0:00","80.6","0:00","No","07:44.22","3","0.0","16","16","16"
Strength Training,2020-09-14 08:36:58,false,"Strength","0.00","589","01:23:47","113","143","1.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","209","23","1:23:47","0:00","82.4","0:00","No","01:23:47.45","1","0.0","14","14","14"
Running,2020-09-13 09:58:34,false,"Orange Running","1.24","138","00:08:24.6","157","171","2.3","159","171","6:48","5:42","10","20","1.48","0.0","0.0","0.0","0.0","0.0","--","--","8:24.6","0:00","73.4","0:00","No","02:04.30","2","0.0","15","15","15"
Running,2020-09-13 09:46:16,false,"Orange Running","1.29","132","00:09:44.1","137","157","2.0","158","186","7:32","4:43","23","3","1.36","0.0","0.0","0.0","0.0","0.0","--","--","9:44.1","0:00","77.0","0:00","No","02:06.24","2","0.0","17","17","17"
Strength Training,2020-09-13 08:36:28,false,"Strength","0.00","496","01:07:31","117","163","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","139","22","1:07:31","0:00","78.8","0:00","No","01:07:30.81","1","0.0","17","17","17"
Running,2020-09-11 12:32:00,false,"Orange Running","1.59","161","00:12:52","132","163","1.9","148","171","8:05","5:51","20","10","1.35","0.0","0.0","0.0","0.0","0.0","--","--","12:52","0:00","84.2","0:00","No","05:09.27","2","0.0","16","16","16"
Strength Training,2020-09-11 11:59:06,false,"Strength","0.00","214","00:25:50","117","133","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","131","18","25:50","0:00","87.8","0:00","No","25:50.03","1","0.0","21","21","21"
Running,2020-09-10 10:06:51,false,"Orange Running","2.66","339","00:28:08","138","169","2.9","125","171","10:34","7:09","33","26","1.18","0.0","0.0","0.0","0.0","0.0","--","--","28:08","0:00","78.8","0:00","No","00:01.35","4","0.0","16","16","16"
