Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-09-26 06:28:33,false,"Berlin 20139 Challenge ","17.24","1,191","02:01:40","144","163","3.3","190","216","7:03","6:06","59","82","1.20","0.0","0.0","--","--","0.0","0.0","0.0","2:01:40","0:00","59.0","0:00","No","01:44.54","18","0.0"
Running,2020-09-25 07:11:59,false,"San Jose EZ8 ","8.00","697","01:05:32","140","161","3.1","187","196","8:11","7:26","407","423","1.05","0.0","0.0","--","--","0.0","0.0","0.0","1:05:32","0:00","60.8","0:00","No","00:02.19","9","0.0"
Running,2020-09-24 06:42:06,false,"Leland GA8","8.00","737","00:59:15","153","168","4.2","188","204","7:24","6:43","36","39","1.15","0.0","0.0","--","--","0.0","0.0","0.0","59:15","0:00","69.8","0:00","No","00:01.37","9","0.0"
Running,2020-09-23 06:50:30,false,"San Jose EZ8 ","8.01","682","01:02:53","142","157","3.2","187","201","7:51","7:22","164","180","1.09","0.0","0.0","--","--","0.0","0.0","0.0","1:02:53","0:00","59.0","0:00","No","00:02.46","9","0.0"
Running,2020-09-22 06:50:39,false,"San Jose GA10k","6.20","497","00:44:52","145","163","3.3","190","209","7:14","6:47","26","39","1.17","0.0","0.0","--","--","0.0","0.0","0.0","44:52","0:00","60.8","0:00","No","01:36.14","7","0.0"
Running,2020-09-21 07:07:58,false,"San Jose RC10k","6.20","545","00:52:26","142","163","3.2","187","201","8:27","7:44","138","151","1.02","0.0","0.0","--","--","0.0","0.0","0.0","52:26","0:00","60.8","0:00","No","01:39.67","7","0.0"
Running,2020-09-20 06:23:47,false,"Los Angeles RC5k ","3.10","220","00:30:48","116","129","1.2","180","206","9:56","8:29","164","180","0.90","0.0","0.0","--","--","0.0","0.0","0.0","30:48","0:00","68.0","0:00","No","00:57.91","4","0.0"
Running,2020-09-19 06:58:09,false,"San Jose RC5k ","3.10","294","00:26:58","143","163","2.9","186","203","8:41","8:04","43","52","1.00","0.0","0.0","--","--","0.0","0.0","0.0","26:58","0:00","68.0","0:00","No","00:53.08","4","0.0"
Running,2020-09-18 06:34:36,false,"Russian Ridge Trail RC5k ","3.10","321","00:33:09","134","162","2.6","175","199","10:41","7:46","459","453","0.86","0.0","0.0","--","--","0.0","0.0","0.0","33:09","0:00","64.4","0:00","No","01:08.27","4","0.0"
Running,2020-09-17 07:30:34,false,"San Jose EZ8 ","8.01","753","01:07:01","146","168","3.8","185","195","8:22","7:18","400","404","1.04","0.0","0.0","--","--","0.0","0.0","0.0","1:07:01","0:00","69.8","0:00","No","00:02.34","9","0.0"
Running,2020-09-16 07:32:26,false,"San Jose EZ10k","6.20","547","00:52:09","140","154","3.1","185","198","8:25","7:50","157","151","1.03","0.0","0.0","--","--","0.0","0.0","0.0","52:09","0:00","68.0","0:00","No","01:35.76","7","0.0"
Running,2020-09-15 07:47:15,false,"San Jose RC5k ","3.10","302","00:29:31","132","151","2.5","181","195","9:31","8:38","85","75","0.94","0.0","0.0","--","--","0.0","0.0","0.0","29:31","0:00","69.8","0:00","No","00:56.66","4","0.0"
Running,2020-09-14 07:38:18,false,"San Jose RC2","2.00","197","00:18:25","133","147","2.2","182","191","9:11","8:16","30","39","0.96","0.0","0.0","--","--","0.0","0.0","0.0","18:25","0:00","69.8","0:00","No","00:01.65","3","0.0"
Running,2020-09-13 07:53:57,false,"San Jose RC2","2.00","187","00:20:40","125","142","1.5","176","185","10:19","9:16","36","36","0.89","0.0","0.0","--","--","0.0","0.0","0.0","20:40","0:00","71.6","0:00","No","00:01.05","3","0.0"
Running,2020-09-12 07:43:56,false,"San Jose RC2","2.01","213","00:20:06","133","150","2.2","179","190","10:01","9:31","26","33","0.90","0.0","0.0","--","--","0.0","0.0","0.0","20:06","0:00","66.2","0:00","No","00:02.51","3","0.0"
Running,2020-09-11 07:27:42,false,"San Jose RC2","2.00","238","00:20:23","143","167","2.7","180","193","10:11","9:13","36","36","0.88","0.0","0.0","--","--","0.0","0.0","0.0","20:23","0:00","68.0","0:00","No","00:01.28","3","0.0"
Running,2020-09-10 07:46:45,false,"San Jose RC2","2.00","218","00:23:45","127","149","1.9","180","190","11:51","9:25","26","46","0.75","0.0","0.0","--","--","0.0","0.0","0.0","23:45","0:00","68.0","0:00","No","00:02.09","3","0.0"
Running,2020-09-09 05:34:48,false,"124th Boston Marathon, virtually ","26.30","1,715","03:18:37","146","163","4.0","189","204","7:33","6:28","200","269","1.13","0.0","0.0","--","--","0.0","0.0","0.0","3:18:37","0:00","60.8","0:00","No","02:43.34","27","0.0"
Running,2020-09-08 07:22:45,false,"San Jose RC10k ","6.20","516","00:51:34","134","150","2.6","186","199","8:19","7:45","144","157","1.04","0.0","0.0","--","--","0.0","0.0","0.0","51:34","0:00","68.0","0:00","No","01:40.99","7","0.0"
Running,2020-09-07 07:02:39,false,"San Jose EZ10k","6.20","535","00:51:01","136","148","3.0","187","209","8:14","7:34","89","72","1.05","0.0","0.0","--","--","0.0","0.0","0.0","51:01","0:00","71.6","0:00","No","01:39.72","7","0.0"
Running,2020-09-06 07:38:33,false,"San Jose RC5k ","3.10","274","00:28:16","128","143","2.2","186","200","9:07","8:09","66","59","0.95","0.0","0.0","--","--","0.0","0.0","0.0","28:16","0:00","75.2","0:00","No","00:53.44","4","0.0"
Running,2020-09-05 07:19:11,false,"San Jose RC5","5.02","452","00:44:41","135","152","2.5","185","201","8:54","7:34","108","112","0.98","0.0","0.0","--","--","0.0","0.0","0.0","44:41","0:00","66.2","0:00","No","00:11.32","6","0.0"
Running,2020-09-04 07:27:31,false,"Virtual Shakeout 5k","3.10","256","00:28:14","123","144","1.9","183","193","9:06","8:17","33","52","0.96","0.0","0.0","--","--","0.0","0.0","0.0","28:14","0:00","68.0","0:00","No","00:56.53","4","0.0"
Running,2020-09-03 07:08:48,false,"T4","4.01","312","00:27:53","141","159","2.9","196","213","6:58","6:00","23","33","1.18","0.0","0.0","--","--","0.0","0.0","0.0","27:53","0:00","68.0","0:00","No","00:02.29","5","0.0"
Running,2020-09-02 06:54:01,false,"San Jose RC8","8.00","663","01:06:58","137","157","2.6","186","199","8:22","6:33","161","184","1.03","0.0","0.0","--","--","0.0","0.0","0.0","1:06:58","0:00","64.4","0:00","No","00:01.36","9","0.0"
Running,2020-09-01 07:36:33,false,"San Jose Running","1.00","101","00:09:05.1","137","144","2.0","182","190","9:04","7:51","10","16","0.98","0.0","0.0","--","--","0.0","0.0","0.0","9:05.1","0:00","64.4","0:00","No","00:01.94","2","0.0"
Running,2020-09-01 07:13:37,false,"LT5k","3.11","258","00:20:22","158","171","3.2","195","221","6:34","5:30","10","23","1.26","0.0","0.0","--","--","0.0","0.0","0.0","20:22","0:00","66.2","0:00","No","00:40.21","4","0.0"
Running,2020-09-01 07:03:37,false,"San Jose Running","1.00","84","00:08:06.4","133","156","1.9","192","201","8:04","7:46","7","13","1.04","0.0","0.0","--","--","0.0","0.0","0.0","8:06.4","0:00","73.4","0:00","No","00:01.50","2","0.0"
Running,2020-08-31 07:10:44,false,"San Jose RC10k ","6.21","529","00:53:32","137","155","2.6","185","198","8:38","7:58","125","151","1.01","0.0","0.0","--","--","0.0","0.0","0.0","53:32","0:00","62.6","0:00","No","01:47.63","7","0.0"
Running,2020-08-30 07:35:19,false,"San Jose RC8","8.01","671","01:11:08","138","163","2.9","184","197","8:53","7:50","164","148","0.99","0.0","0.0","--","--","0.0","0.0","0.0","1:11:08","0:00","64.4","0:00","No","00:02.84","9","0.0"
Running,2020-08-29 07:45:27,false,"Leland GA10k","6.25","508","00:43:19","147","164","3.6","191","209","6:56","6:28","23","33","1.22","0.0","0.0","--","--","0.0","0.0","0.0","43:19","0:00","64.4","0:00","No","01:46.95","7","0.0"
